sexo,grupo_edad,grupo_causa,causa,n
Femenino,<20 años,CE,CE:CA,86
Femenino,<20 años,CE,CE:OTR-CE,2585
Femenino,<20 años,CE,CE:OTR-TRA,71
Femenino,<20 años,CE,CE:SH,1802
Femenino,<20 años,CE,CE:TRA,2392
Femenino,<20 años,CE,CE:VI,640
Femenino,<20 años,CMNN,CMNN:INF,2631
Femenino,<20 años,CMNN,CMNN:MAT-NEO,19638
Femenino,<20 años,CMNN,CMNN:NUTR,215
Femenino,<20 años,ENT,ENT:CRD,556
Femenino,<20 años,ENT,ENT:DIG,474
Femenino,<20 años,ENT,ENT:DM-CKD,306
Femenino,<20 años,ENT,ENT:ECV,1227
Femenino,<20 años,ENT,ENT:MUSC,242
Femenino,<20 años,ENT,ENT:NEU-MENT,1099
Femenino,<20 años,ENT,ENT:NPL,3649
Femenino,<20 años,ENT,ENT:OTR-ENT,15729
Femenino,<20 años,ENT,ENT:PIEL,58
Femenino,<20 años,ENT,ENT:SUST,10
Femenino,20-39,CE,CE:CA,63
Femenino,20-39,CE,CE:OTR-CE,1291
Femenino,20-39,CE,CE:OTR-TRA,155
Femenino,20-39,CE,CE:SH,3371
Femenino,20-39,CE,CE:TRA,4154
Femenino,20-39,CE,CE:VI,1565
Femenino,20-39,CMNN,CMNN:INF,5191
Femenino,20-39,CMNN,CMNN:MAT-NEO,3222
Femenino,20-39,CMNN,CMNN:NUTR,122
Femenino,20-39,ENT,ENT:CRD,906
Femenino,20-39,ENT,ENT:DIG,1524
Femenino,20-39,ENT,ENT:DM-CKD,1650
Femenino,20-39,ENT,ENT:ECV,5095
Femenino,20-39,ENT,ENT:MUSC,954
Femenino,20-39,ENT,ENT:NEU-MENT,1114
Femenino,20-39,ENT,ENT:NPL,17596
Femenino,20-39,ENT,ENT:OTR-ENT,1585
Femenino,20-39,ENT,ENT:PIEL,215
Femenino,20-39,ENT,ENT:SUST,37
Femenino,40-49,CE,CE:CA,49
Femenino,40-49,CE,CE:OTR-CE,766
Femenino,40-49,CE,CE:OTR-TRA,64
Femenino,40-49,CE,CE:SH,1126
Femenino,40-49,CE,CE:TRA,1522
Femenino,40-49,CE,CE:VI,521
Femenino,40-49,CMNN,CMNN:INF,6149
Femenino,40-49,CMNN,CMNN:MAT-NEO,371
Femenino,40-49,CMNN,CMNN:NUTR,113
Femenino,40-49,ENT,ENT:CRD,1201
Femenino,40-49,ENT,ENT:DIG,2155
Femenino,40-49,ENT,ENT:DM-CKD,2619
Femenino,40-49,ENT,ENT:ECV,9034
Femenino,40-49,ENT,ENT:MUSC,673
Femenino,40-49,ENT,ENT:NEU-MENT,925
Femenino,40-49,ENT,ENT:NPL,30331
Femenino,40-49,ENT,ENT:OTR-ENT,1297
Femenino,40-49,ENT,ENT:PIEL,372
Femenino,40-49,ENT,ENT:SUST,73
Femenino,50-59,CE,CE:CA,70
Femenino,50-59,CE,CE:OTR-CE,1128
Femenino,50-59,CE,CE:OTR-TRA,67
Femenino,50-59,CE,CE:SH,995
Femenino,50-59,CE,CE:TRA,1434
Femenino,50-59,CE,CE:VI,401
Femenino,50-59,CMNN,CMNN:INF,9134
Femenino,50-59,CMNN,CMNN:MAT-NEO,7
Femenino,50-59,CMNN,CMNN:NUTR,177
Femenino,50-59,ENT,ENT:CRD,3739
Femenino,50-59,ENT,ENT:DIG,4687
Femenino,50-59,ENT,ENT:DM-CKD,6898
Femenino,50-59,ENT,ENT:ECV,20448
Femenino,50-59,ENT,ENT:MUSC,932
Femenino,50-59,ENT,ENT:NEU-MENT,1497
Femenino,50-59,ENT,ENT:NPL,59460
Femenino,50-59,ENT,ENT:OTR-ENT,2310
Femenino,50-59,ENT,ENT:PIEL,769
Femenino,50-59,ENT,ENT:SUST,151
Femenino,60-69,CE,CE:CA,160
Femenino,60-69,CE,CE:OTR-CE,1657
Femenino,60-69,CE,CE:OTR-TRA,80
Femenino,60-69,CE,CE:SH,634
Femenino,60-69,CE,CE:TRA,1305
Femenino,60-69,CE,CE:VI,305
Femenino,60-69,CMNN,CMNN:INF,15485
Femenino,60-69,CMNN,CMNN:MAT-NEO,1
Femenino,60-69,CMNN,CMNN:NUTR,366
Femenino,60-69,ENT,ENT:CRD,10443
Femenino,60-69,ENT,ENT:DIG,8866
Femenino,60-69,ENT,ENT:DM-CKD,15984
Femenino,60-69,ENT,ENT:ECV,47550
Femenino,60-69,ENT,ENT:MUSC,1319
Femenino,60-69,ENT,ENT:NEU-MENT,3123
Femenino,60-69,ENT,ENT:NPL,94616
Femenino,60-69,ENT,ENT:OTR-ENT,4484
Femenino,60-69,ENT,ENT:PIEL,1735
Femenino,60-69,ENT,ENT:SUST,165
Femenino,70-79,CE,CE:CA,374
Femenino,70-79,CE,CE:OTR-CE,2501
Femenino,70-79,CE,CE:OTR-TRA,50
Femenino,70-79,CE,CE:SH,381
Femenino,70-79,CE,CE:TRA,980
Femenino,70-79,CE,CE:VI,263
Femenino,70-79,CMNN,CMNN:INF,21833
Femenino,70-79,CMNN,CMNN:MAT-NEO,0
Femenino,70-79,CMNN,CMNN:NUTR,1175
Femenino,70-79,ENT,ENT:CRD,18296
Femenino,70-79,ENT,ENT:DIG,12804
Femenino,70-79,ENT,ENT:DM-CKD,23304
Femenino,70-79,ENT,ENT:ECV,94983
Femenino,70-79,ENT,ENT:MUSC,1316
Femenino,70-79,ENT,ENT:NEU-MENT,8594
Femenino,70-79,ENT,ENT:NPL,107050
Femenino,70-79,ENT,ENT:OTR-ENT,9035
Femenino,70-79,ENT,ENT:PIEL,3846
Femenino,70-79,ENT,ENT:SUST,109
Femenino,≥80 años,CE,CE:CA,1300
Femenino,≥80 años,CE,CE:OTR-CE,4272
Femenino,≥80 años,CE,CE:OTR-TRA,35
Femenino,≥80 años,CE,CE:SH,235
Femenino,≥80 años,CE,CE:TRA,592
Femenino,≥80 años,CE,CE:VI,189
Femenino,≥80 años,CMNN,CMNN:INF,38160
Femenino,≥80 años,CMNN,CMNN:MAT-NEO,0
Femenino,≥80 años,CMNN,CMNN:NUTR,4716
Femenino,≥80 años,ENT,ENT:CRD,39178
Femenino,≥80 años,ENT,ENT:DIG,21980
Femenino,≥80 años,ENT,ENT:DM-CKD,34211
Femenino,≥80 años,ENT,ENT:ECV,250149
Femenino,≥80 años,ENT,ENT:MUSC,1191
Femenino,≥80 años,ENT,ENT:NEU-MENT,34280
Femenino,≥80 años,ENT,ENT:NPL,111289
Femenino,≥80 años,ENT,ENT:OTR-ENT,26679
Femenino,≥80 años,ENT,ENT:PIEL,12193
Femenino,≥80 años,ENT,ENT:SUST,100
Masculino,<20 años,CE,CE:CA,199
Masculino,<20 años,CE,CE:OTR-CE,4867
Masculino,<20 años,CE,CE:OTR-TRA,191
Masculino,<20 años,CE,CE:SH,4342
Masculino,<20 años,CE,CE:TRA,6188
Masculino,<20 años,CE,CE:VI,3050
Masculino,<20 años,CMNN,CMNN:INF,3064
Masculino,<20 años,CMNN,CMNN:MAT-NEO,26389
Masculino,<20 años,CMNN,CMNN:NUTR,236
Masculino,<20 años,ENT,ENT:CRD,697
Masculino,<20 años,ENT,ENT:DIG,501
Masculino,<20 años,ENT,ENT:DM-CKD,261
Masculino,<20 años,ENT,ENT:ECV,1614
Masculino,<20 años,ENT,ENT:MUSC,90
Masculino,<20 años,ENT,ENT:NEU-MENT,1471
Masculino,<20 años,ENT,ENT:NPL,4979
Masculino,<20 años,ENT,ENT:OTR-ENT,17962
Masculino,<20 años,ENT,ENT:PIEL,95
Masculino,<20 años,ENT,ENT:SUST,40
Masculino,20-39,CE,CE:CA,625
Masculino,20-39,CE,CE:OTR-CE,5695
Masculino,20-39,CE,CE:OTR-TRA,806
Masculino,20-39,CE,CE:SH,16134
Masculino,20-39,CE,CE:TRA,20544
Masculino,20-39,CE,CE:VI,11491
Masculino,20-39,CMNN,CMNN:INF,8804
Masculino,20-39,CMNN,CMNN:MAT-NEO,0
