anio,nivel,total_count,total_pop,value,lowercl,uppercl,region_deis
2010,GC1,70076,81576906,94.8217015124607,94.1196477525362,95.5276838086613,Argentina
2011,GC1,69865,82522980,92.7559286886582,92.0681026979888,93.4476094259494,Argentina
2012,GC1,68750,83466542,89.4793795243291,88.8105006127148,90.152037368587,Argentina
2013,GC1,72669,84405870,92.7741483429068,92.0996337797686,93.4523691798525,Argentina
2014,GC1,68432,85339000,85.622615661681,84.9811902616315,86.2676733281606,Argentina
2015,GC1,62440,86263932,76.5519555602123,75.9517397757052,77.1557301246494,Argentina
2016,GC1,67594,87180736,81.1783951815189,80.5667244869758,81.7935511201283,Argentina
2017,GC1,65371,88089622,76.9241933406933,76.3349505865934,77.5168503379257,Argentina
2018,GC1,67287,88989004,77.5817828147552,76.9960995532129,78.1708108747697,Argentina
2019,GC1,69533,89877424,78.4419224655768,77.8594215709594,79.0276956474483,Argentina
2020,GC1,66786,90753526,73.7581323631231,73.1992849962728,74.320183256862,Argentina
2021,GC1,75946,91617494,82.0581675961385,81.475008304602,82.6444610869901,Argentina
2022,GC1,85713,92469660,90.2967930590571,89.6925882661708,90.9040540156686,Argentina
2023,GC1,80992,93309162,83.3690686160385,82.7950518240247,83.9460725398283,Argentina
2010,GC2,39682,81576906,53.4760527408295,52.9502831638687,54.0057360173263,Argentina
2011,GC2,40201,82522980,53.0790397582177,52.5604788993222,53.6014355564347,Argentina
2012,GC2,38706,83466542,50.1138688713347,49.6149223940575,50.6165761126643,Argentina
2013,GC2,37264,84405870,47.24685818869,46.7674849484866,47.7299142033416,Argentina
2014,GC2,34302,85339000,42.6619690267337,42.2109128785236,43.1166375696671,Argentina
2015,GC2,32704,86263932,39.8743213093878,39.4426639101605,40.3095195757291,Argentina
2016,GC2,34458,87180736,41.1826195790898,40.7483603385555,41.6203487757026,Argentina
2017,GC2,31504,88089622,36.8822350535736,36.4756127278735,37.2922561081184,Argentina
2018,GC2,31187,88989004,35.802614608438,35.405963550624,36.2025979361257,Argentina
2019,GC2,32515,89877424,36.54566025774,36.1491468829914,36.9454356971876,Argentina
2020,GC2,32830,90753526,36.0832222846272,35.6936032235179,36.4760312072981,Argentina
2021,GC2,37445,91617494,40.2845056114455,39.8770930190868,40.6950405361105,Argentina
2022,GC2,38638,92469660,40.5670701534625,40.1630898820753,40.9740980791788,Argentina
2023,GC2,33757,93309162,34.6559600899538,34.2866789642382,35.028222579722,Argentina
2010,GC3,24589,81576906,33.3730968073896,32.9565027666424,33.7936346608664,Argentina
2011,GC3,24604,82522980,32.7532684159922,32.3445081526691,33.165897145288,Argentina
2012,GC3,25072,83466542,32.7617402468905,32.356717828664,33.1705596265308,Argentina
2013,GC3,22454,84405870,28.8032189893853,28.4270077596395,29.1831581206215,Argentina
2014,GC3,22572,85339000,28.3898325236281,28.0200185281024,28.7633013864519,Argentina
2015,GC3,22979,86263932,28.332410875664,27.9666838772587,28.7017200226418,Argentina
2016,GC3,24288,87180736,29.3420926625872,28.9737326800408,29.7139614911235,Argentina
2017,GC3,23751,88089622,28.1223124840188,27.7653839404283,28.482679407377,Argentina
2018,GC3,23417,88989004,27.1525499880419,26.8055432429034,27.502923416573,Argentina
2019,GC3,23197,89877424,26.3290737802494,25.9910294400492,26.6704134495356,Argentina
2020,GC3,21169,90753526,23.5400449879561,23.2237159922822,23.8596027726628,Argentina
2021,GC3,22378,91617494,24.3671185881458,24.048582878766,24.6888160733079,Argentina
2022,GC3,23918,92469660,25.4157449194401,25.0942798175237,25.7402958855342,Argentina
2023,GC3,22709,93309162,23.5987072444501,23.292317153508,23.9081161873548,Argentina
2010,GC4,43440,81576906,58.8637408408455,58.3105710747432,59.4208454101303,Argentina
2011,GC4,43003,82522980,57.107087712843,56.5676391098515,57.6503930425704,Argentina
2012,GC4,43095,83466542,56.1752707371861,55.6452042907899,56.7091227703477,Argentina
2013,GC4,46701,84405870,59.6091113248833,59.0687807819534,60.1531482055946,Argentina
2014,GC4,49458,85339000,61.8730554893122,61.328076218462,62.421666908269,Argentina
2015,GC4,54822,86263932,67.2298433575865,66.6674299541787,67.7958163468435,Argentina
2016,GC4,61519,87180736,73.9698165135,73.3856976529253,74.5574246267688,Argentina
2017,GC4,59522,88089622,69.9765775677124,69.414925815169,70.5416403707159,Argentina
2018,GC4,56142,88989004,64.6891685994298,64.154655120143,65.2270249367205,Argentina
2019,GC4,56639,89877424,63.8145580172374,63.2896205715236,64.3427639468101,Argentina
2020,GC4,50798,90753526,56.1382455631884,55.6506796357741,56.6290176902144,Argentina
2021,GC4,57741,91617494,62.4882933414541,61.9791293850138,63.0005970668517,Argentina
2022,GC4,63786,92469660,67.0201795257151,66.5004700177694,67.5429376865856,Argentina
2023,GC4,55949,93309162,57.3935817496533,56.9183005375208,57.8718405201835,Argentina
