anio,region_deis,jurisd_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2010,Centro,Buenos Aires,GC1,34584,31433884,116.231283826774,115.007977007868,117.464347598814
2011,Centro,Buenos Aires,GC1,34721,31819214,114.588443134765,113.384645312754,115.801823263781
2012,Centro,Buenos Aires,GC1,33334,32201236,107.931992022989,106.774695531804,109.09869122414
2013,Centro,Buenos Aires,GC1,35885,32579198,114.006172079953,112.82783915246,115.193730569398
2014,Centro,Buenos Aires,GC1,32828,32952298,102.304283635724,101.198868013883,103.418749714927
2015,Centro,Buenos Aires,GC1,25584,33319862,78.1383363961599,77.18237227732,79.1031717950037
2016,Centro,Buenos Aires,GC1,29237,33682270,87.6230560970753,86.6202323195809,88.6345823527402
2017,Centro,Buenos Aires,GC1,27567,34040024,81.0331178700771,80.0782794028608,81.9964909188879
2018,Centro,Buenos Aires,GC1,29007,34392792,83.6975494685568,82.7361674133733,84.6673075416021
2019,Centro,Buenos Aires,GC1,29383,34740288,82.9799165321483,82.0329306048904,83.9350998378226
2020,Centro,Buenos Aires,GC1,27223,35082282,75.2993126427828,74.406580643326,76.20007460894
2021,Centro,Buenos Aires,GC1,30498,35419196,82.6573732320073,81.7312341012003,83.5913806758108
2022,Centro,Buenos Aires,GC1,36578,35751486,96.7601440242467,95.7697471001956,97.7582209735331
2023,Centro,Buenos Aires,GC1,36046,36079018,93.2223654204602,92.2608832550466,94.1913584476319
2010,Centro,Buenos Aires,GC2,22360,31433884,74.9722263230158,73.9915962377089,75.9625940514064
2011,Centro,Buenos Aires,GC2,22678,31819214,74.6008463774832,73.6317625651827,75.5794851017493
2012,Centro,Buenos Aires,GC2,21895,32201236,70.7084587375635,69.7736145297818,71.6526845374374
2013,Centro,Buenos Aires,GC2,20757,32579198,65.7043983133435,64.8122343123576,66.6057591302603
2014,Centro,Buenos Aires,GC2,19735,32952298,61.2440812720382,60.3913080133428,62.1058713529895
2015,Centro,Buenos Aires,GC2,17990,33319862,54.7305548524107,53.9325926442599,55.5373565209766
2016,Centro,Buenos Aires,GC2,19388,33682270,57.8834508764112,57.0705196552118,58.7050546805182
2017,Centro,Buenos Aires,GC2,16684,34040024,48.9566392791085,48.2157546567899,49.7060482621602
2018,Centro,Buenos Aires,GC2,16467,34392792,47.4834007672379,46.7601916399808,48.2149858846015
2019,Centro,Buenos Aires,GC2,17400,34740288,49.1796853981871,48.4509220758487,49.9166582013113
2020,Centro,Buenos Aires,GC2,16506,35082282,45.6948920873712,44.9996767830762,46.3981495868929
2021,Centro,Buenos Aires,GC2,20085,35419196,54.4738045470966,53.7220629065644,55.2334247854259
2022,Centro,Buenos Aires,GC2,21761,35751486,57.7156298903472,56.9500989544969,58.4888670305945
2023,Centro,Buenos Aires,GC2,19565,36079018,50.8594035156639,50.1477696629112,51.5785946603858
2010,Centro,Buenos Aires,GC3,8776,31433884,29.6199055039873,29.0026151175325,30.2470122583533
2011,Centro,Buenos Aires,GC3,8909,31819214,29.5513497506507,28.9399885828307,30.1723595205545
2012,Centro,Buenos Aires,GC3,8975,32201236,29.2232299789151,28.6208287584699,29.8351030684404
2013,Centro,Buenos Aires,GC3,8361,32579198,26.754586615569,26.183236992855,27.3352468030965
2014,Centro,Buenos Aires,GC3,8544,32952298,26.8392634977911,26.272266511898,27.4153997476669
2015,Centro,Buenos Aires,GC3,8851,33319862,27.2675012108943,26.7015641028908,27.8423995033621
2016,Centro,Buenos Aires,GC3,9215,33682270,27.8531883817012,27.2866660541091,28.4285006706144
2017,Centro,Buenos Aires,GC3,9714,34040024,28.787638016789,28.2173642744808,29.3665277455987
2018,Centro,Buenos Aires,GC3,9542,34392792,27.7246873038045,27.1706454743539,28.287175619501
2019,Centro,Buenos Aires,GC3,9732,34740288,27.70577853585,27.1575362007015,28.2622962681688
2020,Centro,Buenos Aires,GC3,8832,35082282,24.6412177091536,24.1294695568462,25.161077792597
2021,Centro,Buenos Aires,GC3,9180,35419196,25.0969586293942,24.5855771947145,25.6162897196469
2022,Centro,Buenos Aires,GC3,9748,35751486,26.0825084481879,25.5665680471299,26.606230220376
2023,Centro,Buenos Aires,GC3,9063,36079018,23.7442645594366,23.2570754669184,24.2390763772973
2010,Centro,Buenos Aires,GC4,15218,31433884,51.1583176249612,50.3477664067575,51.9786365632856
2011,Centro,Buenos Aires,GC4,15377,31819214,50.7048402186468,49.905491171948,51.5137717287912
2012,Centro,Buenos Aires,GC4,15701,32201236,50.8015577000075,50.0088827549828,51.6036358975729
2013,Centro,Buenos Aires,GC4,16372,32579198,51.9835907515063,51.1891391435004,52.7872702864762
2014,Centro,Buenos Aires,GC4,17861,32952298,55.5746884089795,54.7614150676727,56.3970034955824
2015,Centro,Buenos Aires,GC4,21640,33319862,66.0307216208283,65.1526429365552,66.9176642851847
2016,Centro,Buenos Aires,GC4,22986,33682270,68.9231097799146,68.0338401309616,69.8210881331847
2017,Centro,Buenos Aires,GC4,23628,34040024,69.3220138297051,68.4399503373607,70.2125966611598
2018,Centro,Buenos Aires,GC4,22312,34392792,64.2372670591482,63.3963158506246,65.0865779284731
2019,Centro,Buenos Aires,GC4,22798,34740288,64.2807821651516,63.4482846662307,65.1214661220435
2020,Centro,Buenos Aires,GC4,19392,35082282,53.7279466625076,52.9736463692651,54.4902932122535
2021,Centro,Buenos Aires,GC4,23726,35419196,64.4448847064627,63.6265259888894,65.2711310477458
2022,Centro,Buenos Aires,GC4,25951,35751486,68.4366026542961,67.6053608319563,69.2755033238279
2023,Centro,Buenos Aires,GC4,23353,36079018,60.2310644057137,59.4597364088666,61.0098861825895
2010,Centro,CABA,GC1,6117,6056962,70.3088445108004,68.4990699661139,72.1531509059221
2011,Centro,CABA,GC1,5777,6067278,65.9285576594855,64.1828410954162,67.708560459987
2012,Centro,CABA,GC1,5755,6077720,64.7181297571562,63.0028615551966,66.4671512114133
2013,Centro,CABA,GC1,6252,6088152,69.8095935676825,68.0372805264785,71.6153527426929
2014,Centro,CABA,GC1,6546,6098458,71.9649322220728,70.182958441217,73.7797628239759
2015,Centro,CABA,GC1,6108,6108534,67.0859454038226,65.3680967848548,68.8365962520684
2016,Centro,CABA,GC1,6230,6118244,68.1613252651778,66.4352396156853,69.9200427328483
2017,Centro,CABA,GC1,5958,6127456,64.939931292093,63.2581374555067,66.6542449193907
2018,Centro,CABA,GC1,5286,6136086,57.2164828603956,55.6446694873538,58.8205847717445
2019,Centro,CABA,GC1,5667,6144058,60.8648103233836,59.2509314200357,62.5106956436851
2020,Centro,CABA,GC1,5205,6151292,56.1797959351818,54.6248261041401,57.7669587122545
2021,Centro,CABA,GC1,5645,6157672,60.3636833199771,58.759046765482,62.0002056275494
2022,Centro,CABA,GC1,6081,6163100,64.2428785099442,62.5947150005155,65.922584142692
2023,Centro,CABA,GC1,6117,6167540,63.6280767171458,62.000482569788,65.2867265768468
2010,Centro,CABA,GC2,4080,6056962,45.9262108331155,44.4784120922743,47.4079150118602
2011,Centro,CABA,GC2,3826,6067278,43.0133245675759,41.6126570284458,44.4478793935278
2012,Centro,CABA,GC2,3464,6077720,38.7954214629714,37.4704837270337,40.1540705031589
2013,Centro,CABA,GC2,3405,6088152,37.7431458531462,36.4426743181598,39.0769956547169
2014,Centro,CABA,GC2,2745,6098458,32.0755032488291,30.8431816173736,33.3431084237299
2015,Centro,CABA,GC2,2439,6108534,27.5294012730699,26.412316243292,28.6804500560201
2016,Centro,CABA,GC2,2757,6118244,31.2842191803219,30.0871729669863,32.5154630971604
2017,Centro,CABA,GC2,2686,6127456,30.2405287352699,29.0684532070394,31.4465352538739
2018,Centro,CABA,GC2,2767,6136086,31.0716694597381,29.8857148898545,32.2914426237395
2019,Centro,CABA,GC2,3057,6144058,33.5501392115056,32.3324456597385,34.8008432183518
2020,Centro,CABA,GC2,3553,6151292,37.5973240811272,36.3335160279423,38.8928771756715
2021,Centro,CABA,GC2,3757,6157672,39.5125003844372,38.21980646333,40.8367590452643
2022,Centro,CABA,GC2,3254,6163100,34.3492787118034,33.1374233891313,35.5929616565215
2023,Centro,CABA,GC2,2619,6167540,27.7500605101689,26.6567606931544,28.8754195712698
2010,Centro,CABA,GC3,3961,6056962,45.6618478634477,44.2069058556718,47.151377280753
2011,Centro,CABA,GC3,4081,6067278,46.4275040131589,44.9707398843929,47.9183793028234
2012,Centro,CABA,GC3,4125,6077720,46.6035291159285,45.1503143290545,48.0905876495539
