anio,region_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2010,Centro,GC1,54168,53263858,100.042922255515,99.1998133457123,100.891399538605
2011,Centro,GC1,54919,53818342,99.834038539729,98.998287473378,100.675074490921
2012,Centro,GC1,53080,54370588,94.9637377843517,94.1550461417228,95.7776313458459
2013,Centro,GC1,56638,54919386,99.6835963324131,98.8617318593251,100.510578128684
2014,Centro,GC1,52650,55463440,91.1018848829535,90.3229457444583,91.8858550494249
2015,Centro,GC1,45595,56001598,77.5610801755035,76.8486315510926,78.2784749061293
2016,Centro,GC1,51505,56533884,86.2047020910992,85.4596935282916,86.9545759152079
2017,Centro,GC1,48445,57060486,79.6536175102524,78.9439378614373,80.368076372404
2018,Centro,GC1,49751,57580666,80.5257125537429,79.8177662672342,81.2383631564532
2019,Centro,GC1,51281,58093776,81.4120129229952,80.7069886060272,82.1216514662478
2020,Centro,GC1,47838,58599232,74.614378565327,73.9452891122496,75.2880024879145
2021,Centro,GC1,54308,59097190,83.1898189282093,82.4893995817158,83.8946923204932
2022,Centro,GC1,62655,59587876,93.7896162116873,93.0541052226869,94.5294806552066
2023,Centro,GC1,59734,60070944,87.6350136729029,86.9308555008343,88.3434407511332
2010,Centro,GC2,32268,53263858,59.2078483586223,58.561783348304,59.8592488597195
2011,Centro,GC2,32307,53818342,58.3664006437275,57.729792508019,59.0082629823948
2012,Centro,GC2,31091,54370588,55.3408568680635,54.725531286223,55.9613598186354
2013,Centro,GC2,29793,54919386,52.1455642499891,51.5532646289363,52.7429554147034
2014,Centro,GC2,27608,55463440,47.5473447646716,46.9864003602601,48.1132992856409
2015,Centro,GC2,25516,56001598,43.1653155973735,42.6357292628015,43.6998230339398
2016,Centro,GC2,27840,56533884,46.344371570567,45.8000022756968,46.8935825390579
2017,Centro,GC2,24974,57060486,41.0210901230606,40.5124563913779,41.5345015356276
2018,Centro,GC2,24518,57580666,39.7202085239721,39.2231467492114,40.2219827275946
2019,Centro,GC2,25681,58093776,40.8412642374886,40.3417883124858,41.34536645715
2020,Centro,GC2,25453,58599232,39.6380225881623,39.1509912914615,40.1295851767708
2021,Centro,GC2,29822,59097190,45.6444896078107,45.1260485281937,46.1673851483426
2022,Centro,GC2,30744,59587876,46.0973833798501,45.5814418628953,46.6176905895104
2023,Centro,GC2,26953,60070944,39.7048518283419,39.2300086090611,40.1839876250505
2010,Centro,GC3,18251,53263858,33.9954679149801,33.5026539589924,34.4937016247874
2011,Centro,GC3,18149,53818342,33.2826264725661,32.7986854982303,33.7719046454771
2012,Centro,GC3,18457,54370588,33.3086199152336,32.8283194688639,33.7941727583782
2013,Centro,GC3,16148,54919386,28.8051903054524,28.3612225039184,29.2543508756738
2014,Centro,GC3,16134,55463440,28.3037237230529,27.8673350860174,28.7452187091668
2015,Centro,GC3,16330,56001598,28.1496885248667,27.7183043337068,28.5860899261602
2016,Centro,GC3,16959,56533884,28.7553659798916,28.322978369625,29.1926877353752
2017,Centro,GC3,17209,57060486,28.650103444915,28.2224683897911,29.0825826132258
2018,Centro,GC3,16412,57580666,26.8746026102186,26.4639033629909,27.2900664669772
2019,Centro,GC3,16354,58093776,26.3377630439834,25.9345348246125,26.7456775411144
2020,Centro,GC3,14854,58599232,23.5054671834526,23.127878840515,23.8876615237522
2021,Centro,GC3,15602,59097190,24.2911498603324,23.910254655864,24.6765779114668
2022,Centro,GC3,16921,59587876,25.7258487822131,25.3382937143774,26.1178313880078
2023,Centro,GC3,15979,60070944,23.8522019221687,23.4822925053628,24.2264608686211
2010,Centro,GC4,29640,53263858,54.5070092204329,53.8865155795313,55.1328505819046
2011,Centro,GC4,29383,53818342,53.138005875125,52.53035494252,53.7509168063173
2012,Centro,GC4,28672,54370588,51.0724155020016,50.4811327637835,51.6688799300858
